2024-08-24 09:23:46.710 +08:00 [INF] Main (StartingAsync) | Starting at: 2024/8/24 9:23:46 +08:00
2024-08-24 09:23:46.743 +08:00 [INF] Main (StartAsync) | Start at: 2024/8/24 9:23:46 +08:00
2024-08-24 09:23:46.745 +08:00 [INF] Main (StartedAsync) | Started at: 2024/8/24 9:23:46 +08:00
2024-08-24 09:23:46.745 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:23:46.745 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-24 09:23:46.745 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:23:48.794 +08:00 [INF] Main (StartedAsync) | Send Email Function: Disabled, Interval Every 11 Secs
2024-08-24 09:23:48.794 +08:00 [INF] Main (StartedAsync) | Email sending is disabled.
2024-08-24 09:24:48.816 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:24:48.816 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-24 09:24:48.816 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:24:48.904 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-24 09:24:48.904 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:24:48.904 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:24:48.904 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:24:49.042 +08:00 [INF] Main (StartedAsync) | Total emails to be sent: 1
2024-08-24 09:24:49.043 +08:00 [INF] Main (StartedAsync) | Processing Email No. 1, Email Id: 20240824092447448171, Recipient Name: Kai Xuan, Recipient Email: kaixuan0131@gmail.com
2024-08-24 09:24:52.138 +08:00 [INF] Main (SendEmailAsync) | Email Sent Succesful.
2024-08-24 09:24:52.282 +08:00 [INF] DBL (UpdateEmailAsync) | Update Email Successful. Email Id: 20240824092447448171, Status: Completed
2024-08-24 09:24:52.283 +08:00 [INF] Main (StartedAsync) | Send Email Progress Completed. Total Success: 1, Total Failure: 0.
2024-08-24 09:25:02.291 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:02.291 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:25:02.291 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:02.302 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:25:12.318 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:12.318 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:25:12.318 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:12.328 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:25:22.336 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:22.336 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:25:22.336 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:22.415 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:25:32.427 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:32.428 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:25:32.428 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:32.434 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:25:42.439 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:42.439 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:25:42.439 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:42.445 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:25:52.459 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:52.459 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-24 09:25:52.459 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:52.464 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-24 09:25:52.464 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:52.464 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:25:52.464 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:25:52.471 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:26:02.477 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:02.477 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:26:02.477 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:02.485 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:26:12.492 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:12.493 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:26:12.493 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:12.498 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:26:22.501 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:22.501 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:26:22.501 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:22.510 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-24 09:26:32.524 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-24 09:26:32.524 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-24 09:26:32.524 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
